Index,Entry Word,Part of Speech,Affix,Definition
1385,kenefi,n m,,toilet
1386,kentra,n f,,"vagabond, hobo"
1387,kepe,n m,,cap
1388,kepes,n m,,"cap, bonnet"
1389,keravdo,adj m,,"boiled, cooked"
1390,keravel,v tr,,boil
1391,kerdjovel,v itr,,1. be cooked 2. be boiled
1392,kerel,v,,"1. do, act, execute 2. make, produce, create 3. build 4. practise 5. cost"
1393,kerel,v tr,,"1. make, do, act 2. convert into 3. cause"
1394,kerel bajrami,v phr,,fast
1395,kerel buti,v phr tr,,work
1396,kerel e čhurjasa,v phr tr,,"scratch, poke around with a knife"
1397,kerel ekzameno,v phr,,test
1398,kerel fluenca,v phr,,affect
1399,kerel holta,v phr itr,,"go about, walk around"
1400,kerel imaginacija,v phr,,imagine
1401,kerel karig,v phr itr,,"try to trap, try to catch"
1402,kerel kher,v phr,,"construct, build a house"
1403,kerel konparacija,v phr,,compare
1404,kerel lokeste,v phr,,slow down
1405,kerel param parčes,v phr itr,,"break up in small pieces, break into smithereens"
1406,kerel pes,v phr,,"1. pretend, fake, simulate 2. turn in, change in 3. change clothes 4. dress up"
1407,kerel rezili,v phr itr,,dishonour
1408,kerel sedenkja,v phr itr,,"gossip, chat, sit together to talk and sing etc."
1409,kerel šeresa,v phr tr,,nod
1410,kerel xabe,v phr tr,,cook food
1411,kerel xabe,v phr,,1. prepare food 2. fry 3. bake
1412,kerel zian,v phr itr,,"1. scatter, dissipate 2. damage, ruin"
1413,kereveti,n m,,bed
1414,keribe,n m,,creation
1415,kerjarel,v tr,,"make so. do sth., order smb.to do sth."
1416,kerkipe,n m,,bitterness
1417,kerkjarel,v tr,,"distress, hurt"
1418,kerko,adj m,,bitter
1419,kêrlalipe,n m,,greed
1420,kêrlalo,adj m,,greedy
1421,kêrlo,n m,,throat
1422,kêrlo,n m,,throat
1423,kermalilo,adj m,,maggoty
1424,kermalо,adj m,,"wormy, worm-eaten, maggoty"
1425,kermo,n m,,1. worm 2. caterpillar
1426,kermusikani xev,n phr m,,mouse-hole
1427,kermusikano,adj m,,"mousy, mouse-"
1428,kermuso,n m,,mouse
1429,kernipe,n m,,"rottenness, rot, putrefaction"
1430,kernjovel,v itr,,"rot, become rotten, moulder"
1431,kerno,adj m,,rotten
1432,kêrtica,n f,,mole
1433,kervipe,n m,,baptism
1434,ketapi,n m,,1. book 2. profession
1435,kêti,adj,,"1. with a deficit 2. scarce, insufficient, short"
1436,kêtniki,n m,,"grinder, molar"
1437,kež,n f,,silk
1438,kežuno,adj m,,"silky, silken, silk-"
1439,khakh,n f,,1. armpit 2. scissors
1440,kham,n m,,sun
1441,lač,n f,,shame
1442,lačarda,adv,,correctly
1443,lačardo,adj m,,ready
1444,lačardo,adj m,,ready
1445,lačarel,v,,"1. improve 2. repair, correct 3. cultivate 4. renew 5. recover"
1446,lačaripe,n m,,improvement
1447,lačeder,adv,,better
1448,lačes,adv mod,,"good, well"
1449,lačhardo,adj m,,"1. set right, adjusted, arranged 2. dressed up, natty"
1450,lačharel,v tr,,"set right, adjust, arrange"
1451,lačhes ,adv mod,,"good, well"
1452,lačhipe,n m,,"1. luck, good thing 2. goodness, benevolence"
1453,lačho,adj m,,good
1454,lačho dies,n phr m,,"feast, holiday"
1455,lačipe,n m,,"1. luck, good thing 2. goodness, benevolence"
1456,lačipnasa,adv mod,,"nicely, without making stories"
1457,lačo,adj m,,1. good 2. beautiful
1458,ladaiba,n m,,1. loading 2. load
1459,ladavdo,adj m,,"loaded, burdened"
1460,ladavel,v tr,,1. load 2. burden
1461,ladžal,v itr,,1. be ashamed 2. blush 3. make so. feel ashamed
1462,ladžavno,adj m,,"modest, humble"
1463,ladžavo,n m,,shame
1464,lakati,n m,,elbow
1465,lakoro,pron poss 3 sg m,,her
1466,lales,n m,,tulip
1467,lalorjovel,v,,stutter
1468,laloro,adj m,,dumb
1469,lama,n f,,llama
1470,lamarina,n f,,sheet
1471,lampa,n f,,lamp
1472,lancos,n m,,chain
1473,lapa,n f,,claw
1474,lav piro tel mande,v phr,,"rest, have a rest"
1475,laxti,n f,,kick
1476,laxtidel,v tr,,kick
1477,lazinel,v,,creep
1478,leblebia,n f,,grilled chickpeas
1479,lehuso,n f,,"woman in child-birth, young mother"
1480,lejnakoro,adj m,,"river-, fluvial"
1481,lel,v tr,,"1. take, take as wife or husband 2. shows a change in scene of the story 3. obtain, get 4. borrow, lend 5. employ 6. impress"
1482,lel andre,v phr itr,,"let in, allow in"
1483,lel elazi,v phr,,breathe
1484,lel katar,v phr itr,,"take down, take off, take out"
1485,lel palal,v phr tr,,"chase away, make so. leave"
1486,lel pes,v phr tr,,"go,  in combination with a verb marking a change of scene in the story"
1487,lel pes telê,v phr tr,,climb down
1488,lel peske,v phr itr,,"go, go away"
1489,lel te,v phr itr,,"begin, start"
1490,lel xedži,v phr,,afford
1491,leljaki,n m,,stork
1492,len,n f,,river
1493,lengeri,n m,,large copper baking dish
1494,lengoro,pron poss 3 sg m,,their
1495,lengoro,pron poss 3 sg m,,their
1496,lenori,n f,,brook
1497,lenos,n m,,"linen, flax"
1498,lepinel,v tr,,"stick, spread with glue"
1499,lepinel pes,v itr,,stick
1500,leši,n m,,1. skeleton 2. flesh
1501,leskoro,pron poss 3 sg m,,his
1502,leskoro,pron poss 3 sg m,,his
1503,lesno ,adv mod,,easy
1504,lešta,n f,,lentil
1505,leštnikos,n m,,hazelnut
1506,lev,n,,Lev (Bulgarian currency)
1507,levavdo,adj m,,"mischievous, naughty"
1508,lêvi,n m,,lion
1509,levo,adj m,,"left, on the left side"
1510,levoveri,n m,,revolver
1511,lidžinel,v,,lick
1512,likh,n f,,nit
1513,likhalo,adj m,,full of nits
1514,lil,n m,,1. paper 2. book 3. letter 4. document
1515,lilale love,n phr f,,bank notes
1516,lilavo,adj m,,"lilac, lavender, purple"
1517,lim,n f,,"snivel, snot"
1518,limalo,adj m,,snotty
1519,limitirinel,v,,restrict
1520,limitirinel,v,,limit
1521,limonada,n f,,lemonade
1522,limoni,n m,,lemon
1523,limono,n m,,lemon
1524,lindipe bukjate,n phr m,,employment
1525,lindra,n f,,nap
1526,lindrel,v itr,,"doze, drowse, nap"
1527,lingurja,n pl,,"spindle-makers, spindle-vendors"
1528,linta,n f,,lentils
1529,lintakeri,adj f,,lentil-
1530,lisica,n f,,fox
1531,lisicakeri xev,n phr,,fox earth
1532,livadia,n f,,meadow
1533,lizdravdo,adj m,,trembling
1534,lizdravel,v tr,,to make so. or sth. tremble
1535,lizdrel,v itr,,"tremble, shake"
1536,ljapardinel,v,,mention
1537,ljolovel,v,,1. redden 2. become red
1538,lodka,n f,,boat
1539,lokes,adv,,slowly
1540,lokeste,adv,,easily
1541,lokipe,n m,,lightness
1542,lokjarel,v tr,,"1. facilitate, relieve 2. belch"
1543,lokjaripe,n m,,relief
1544,loko,adj m,,1. light (weight) 2. easy
1545,lokumi,n m,,lokum (Turkish sweet)
1546,lolipe,n m,,1. redness 2. lipstick
1547,loljarel,v tr,,"brown (meat, bread)"
1548,loljovel,v itr,,"redden, blush"
1549,lolo,adj m,,red
1550,lolo piperi,n phr m,,1. pepper 2. red pepper
1551,lon,n m,,salt
1552,londo,adj m,,salty
1553,longjardo,adj m,,salty
1554,longjarel,v,,1. salt 2. get salty
1555,lopata,n f,,shovel
1556,lošali,n f,,"joy, delight"
1557,lošalibaske,adv,,for fun
1558,lošalipe,n m,,joy
1559,lošalo,adj m,,"joyful, glad, happy, pleased"
1560,lošanarel,v,,entertain
1561,lošanel,v itr,,"1. be pleased, be glad 2. admire 3. make fun of"
1562,lošano,adj m,,"joyful, glad"
1563,lovarja,n pl,,horse dealers (Roma group)
1564,lovdžilek,n,,"shooting, hunting"
1565,lovdžis,n m,,hunter
1566,love,n pl,,"1. money, coin, banknote 2. price"
1567,loveci,n m,,hunter
1568,lovecos,n m,,hunter
1569,lubexari,n m,,souteneur
1570,lubipe,n m,,prostitution
1571,lubni,n f,,"prostitute, whore, slut"
1572,luja,n f,,Monday
