Index,Entry Word,Part of Speech,Affix,Definition
3550,zolo,adj m,,strong
3551,zor,n f,,"1. strength, power 2. spicyness, hotness 3. poison"
3552,zorelepen,n m,,"strength, power"
3553,zoreles,adv mod,,"1. strongly, forcefully 2. aloud"
3554,zoreli,n f,,nerve
3555,zoreli mol,n phr,,strong wine
3556,zorelo,adj m,,"strong, powerful, solid, massive"
3557,zorelo gadžo,n phr,,receiver of stolen goods (reliable person)
3558,zorelo vago,n phr,,solid vehicle
3559,zota,n f,,a kind of colza
3560,zotvalo,adj m,,simple-minded
3561,zu,n m,,"penny, small coin"
3562,zu but,adv phr,,so many
3563,zudlego,adj m,,"dirty, filthy, repulsive"
3564,zuglari,n m,,"drinker, alcoholic"
3565,zuglel,v itr,,suck
3566,zumelo,adj m,,having the consistency of soup
3567,zumi,n f,,soup
3568,zumin,n f,,soup
3569,zumipo,n m,,"attempt, trial"
3570,zumpa,n f,,"sump, swamp"
3571,zumpego,adj m,,"boggy, fenny"
3572,zumpel dren,partv,,"bog (in a swamp, soft ground), sink (in a swamp, soft ground), become stuck (in a swamp, soft ground)"
3573,žuns ,part,,"in the past, beforehand"
3574,zura,n f,,"noise of an engine/motor, buzzing"
3575,zurel,v itr,,"buzz, grumble, hum"
3576,zutego,adj m,,"dirty, filthy, repulsive"
3577,zutlemen,adj m,,"dirty, filthy, repulsive"
3578,zuxa,n f,,"noise of an engine/motor, buzzing"
3579,zuxel,v tr,,"try (food, drinks), taste (food, drinks)"

