Index,Entry Word,Part of Speech,Affix,Definition
819,kapnjalivola,v itr,,grow mouldy
820,kar,n m,,penis
821,karajani,n m,,"flying fox, large bat"
822,karakoli,n m,,police
823,karanlîki,n m,,darkness
824,karavida,n f,,prawn
825,karfiča,n f,,safety-pin
826,karikla,n f,,chair
827,kariklatar kunja,n phr,,rocking chair
828,karing,prep,,"to, in the direction of"
829,karing,adv loc,,1. here 2. hither
830,karuli,n m,,"bobbin, ball of thread"
831,karvali,n f,,bosom-friend
832,karvalo,n m,,bosom-friend
833,kašmeri,adj,,"ugly, disgusting"
834,kašt,n m,,log of wood
835,kašta,n pl,,wood
836,kastanos,n m,,chestnut
837,kaštengoro,n m,,lumberjack
838,kašuko,adj m,,deaf
839,kat,n f,,scissors
840,katar,prep,,"from, by, because of"
841,katara,n f,,"mishap, escape"
842,kate,adv loc,,here
843,kathe ,adv loc,,here
844,kati,pron indef,,something
845,katîna,n f,,backbone
846,katlatinela,v tr,,fold up
847,katrani,n m,,tar
848,kava,pron dem m,,this
849,kava,pron dem m,,"this, which"
850,kavalti,n m,,breakfast
851,kavanozi,n m,,preserving jar
852,kavgadžis,n m,,squabbler
853,kavgas,n m,,"fight, dispute"
854,kazani,n m,,kettle
855,kazmas,n m,,hoe
856,ke,pron indef,,all …
857,kejmeti,n m,,value
858,kelimi,n m,,"carpet, doormat"
859,kemanes,n m,,violin
860,kemanes čidela,v phr,,play the violin
861,kemeri,n m,,belt
862,keramida,n f,,roofing tile
863,kerdarela,v tr,,have sth. made
864,kerela,v tr,,1. do 2. produce
865,kerela buti,v phr,,work
866,kerela jardîmi,v phr,,help
867,kerela lafi,v phr,,"speak, talk"
868,kerela pes,v phr,,"pretend, put on an act"
869,kerela xartakja,v phr,,play cards
870,kerkes,adv,,"bitter, dry"
871,kerko,adj m,,"1. bitter, dry 2. hot (spicy)"
872,kermalivola,v itr,,"decay, putrefy"
873,kermalo,adj m,,wormy
874,kermandivola,v itr,,"decay, putrefy"
875,kermo,n m,,"worm, maggot"
876,kermuso,n m,,mouse
877,kernjarela,v tr,,let sth. rot
878,kernjola,v itr,,rot
879,kerno,adj m,,rotten
880,keti,pron int,,how many
881,khajni,n f,,hen
882,khak,n f,,armpit
883,kham,n m,,"sun, light"
884,khamni,adj f,,pregnant (humans and animals)
885,khamnjarela,v tr,,make pregnant
886,khamnjola,v itr,,1. become pregnant 2. sprout
887,khamno,adj m,,fat
888,khandela,v itr,,smell
889,khandino,adj m,,"lazy, slow"
890,khangeri,n f,,church
891,khangli,n f,,comb
892,khelavdo,adj m,,theatrical
893,khelavkerela,v tr,,"1. make / let so. dance, make / let so. play 2. make / let so. make music"
894,kheldakerela,v tr,,"1. make / let so. dance, make / let so. play 2. make / let so. make music"
895,kheldarela,v tr,,"1. make / let so. dance, make / let so. play 2. make / let so. make music"
896,khelela,v itr,,1. dance 2. play 3. make music
897,kher,n m,,1. house 2. flat 3. room
898,kheral,adv loc,,from home
899,khere,adv loc,,"home, at home"
900,kherutno,adj m,,domestic
901,khil,n m,,1. fat 2. butter 3. oil
902,khinipe,n m,,fatigue
903,khino,adj m,,"tired, fatigued"
904,khoni,n f,,tallow
905,khoro,n m,,(water) jug
906,khosela,v tr,,"1. wipe, clean 2. blow one's nose"
907,khul,n m,,"shit, dirt"
908,khulalivola,v itr,,"be filthy, muddy"
909,khulalo,n m,,mudlark
910,khulalo,adj m,,filthy
911,khuro,n m,,stallion
912,khuvdarela,v tr,,"have sth. knitted, have sth. embroidered, have sth. woven"
913,khuvdiskerela,v tr,,"have sth. knitted, have sth. embroidered, have sth. woven"
914,khuvela,v tr,,"knit, embroider, weave"
915,ki,conj,,that
916,ki,prep,,"on, at"
917,ki rat,adv temp,,at night
918,kijafeti,n m,,clothing
919,kilametri,n m,,kilometre
920,kilo,n m,,"tent peg, stake"
921,kindakerela,v tr,,have sth. bought
922,kindarela ,v tr,,have sth. bought
923,kindavkerela,v tr,,have sth. bought
924,kindikano,adj m,,"bought, purchased"
925,kindivola,v itr,,be bought
926,kindjola ,v itr,,be bought
927,kinela,v tr,,"buy, purchase"
928,kiral,n m,,cheese
929,kiranela,v tr,,"1. invite, shout (money) 2. give money to so."
930,kiranipe,n m,,invitation
931,kiras,n m,,"rent, tenancy"
932,kiri,n f,,ant
933,kirkela,n f,,"door angle, door latch"
934,kirvi,n f,,godmother
935,kirvo,n m,,godfather
936,kisi,n f,,small bag
937,kitapi,n m,,1. Koran 2. book
938,kiti,pron int,,how many
939,kîlîči,n m,,sword
940,kîlînči,n m,,sword
941,kîna,n f,,henna
942,kîzkandinela,v tr,,"1. be sorry for, pity 2. be jealous"
943,kîzkanmaki,n m,,pity
944,klidi,n f,,key
945,klidinela,v tr,,lock
946,ko,prep,,"on, at, with"
947,ko than,adv,,accurately
948,koč,n f,,knee
949,kofina,n f,,storage basket
950,kokaleskiri džamba,n phr,,turtle
951,kokalos,n m,,"bone, bones"
952,kola,part quot,,et cetera
953,kolin,n m,,breast
954,kombi,n m,,"knot, node"
955,kombjalo,adj m,,"knotty, nodular"
956,komposta,n f,,fruit dish
957,komšus,n m,,neighbour
958,kon,pron int,,who
959,kopači,n m,,log of stump wood
960,kopana,n f,,1. log of heartwood 2. wooden trough
961,kopiči,n m,,log of wood (club)
962,kori,n f,,"neck, throat"
963,korjarela,v tr,,blind
964,korkori,adj,,"alone, lonely, left behind"
965,korolipe,n m,,1. blindness 2. bluntness
966,korolivola,v itr,,"1. become blind, go blind 2. blunt"
967,korolo,adj m,,1. blind 2. blunt
968,lač,n f,,"shame, disgrace, embarassement"
969,lačhes,adv,,well
970,lačhipe,n m,,"1. kindness, goodness 2. favour 3. benefit, advantage"
971,lačho,adj m,,"1. good, pleasant 2. suited, right"
972,ladavela,v tr,,1. load 2. drive away
973,ladi,n m,,"fat, oil, train-oil"
974,ladžala,v itr,,1. be ashamed 2. be shy
975,ladžano,adj m,,"shy, ashamed, awkward, shameful"
976,lafi,n m,,1. word 2. talk
977,lalas,n m,,vizier
978,lalorindivola,v itr,,become silent
979,laloro,adj m,,dumb
980,lamarina,n f,,metal plate
981,laštikos,n m,,rubber
982,latka,n f,,vagina
983,lavuri,n m,,1. kind of cloth 2. turban
984,laxti,n f,,kick
985,lela,v tr,,"take (away), grab, buy, purchase"
986,lela anglal,v phr,,throw out
987,lela jakhatar,v phr,,get the evil eye
